"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"TUR","iShares MSCI Turkey ETF","ETF","--","--","--","No","0.59%","0.59%","03/26/2008","-22.30%","+11.73%","-1.40%","-0.43%","-22.46%","+11.87%","-1.38%","-0.11%","04/30/2025","-6.41%","+14.66%","-0.52%","-0.01%","-7.19%","+14.95%","-0.60%","+0.28%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"CNYA","iShares MSCI China A ETF","ETF","--","--","--","No","0.60%","0.60%","06/13/2016","+4.98%","+0.80%","--","+3.54%","+4.35%","+1.25%","--","+3.10%","04/30/2025","+11.07%","+2.79%","--","+3.95%","+10.72%","+2.97%","--","+3.54%","03/31/2025","China Region","4 stars out of 83 funds","4 stars out of 83 funds","4 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"EDOG","ALPS Emerging Sector Dividend Dogs ETF","ETF","--","--","--","No","0.60%","0.60%","03/27/2014","+10.94%","+11.25%","+2.93%","+3.23%","+10.76%","+11.62%","+2.90%","+3.08%","04/30/2025","+6.59%","+12.34%","+3.27%","+2.94%","+6.64%","+12.60%","+3.24%","+2.85%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","3 stars out of 440 funds","04/30/2025"
"GCOW","Pacer Global Cash Cows Dividend ETF","ETF","--","--","--","No","0.60%","0.60%","02/22/2016","+12.14%","+13.46%","--","+8.61%","+12.45%","+13.56%","--","+8.79%","04/30/2025","+11.20%","+15.48%","--","+8.77%","+11.14%","+15.67%","--","+8.94%","03/31/2025","Global Large-Stock Value","3 stars out of 147 funds","3 stars out of 147 funds","3 stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"EMIF","iShares Emerging Markets Infrastructure ETF","ETF","--","--","--","No","0.60%","0.60%","06/16/2009","+4.85%","+4.02%","-2.07%","+2.20%","+5.14%","+3.90%","-2.09%","+2.17%","04/30/2025","-0.11%","+4.62%","-1.56%","+1.87%","+0.32%","+4.65%","-1.57%","+1.84%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","3 stars out of 722 funds","2 stars out of 639 funds","1 stars out of 440 funds","04/30/2025"
"EWZS","iShares MSCI Brazil Small-Cap ETF","ETF","--","--","--","No","0.60%","0.60%","09/28/2010","-4.95%","+5.93%","+3.44%","-2.05%","-4.46%","+5.94%","+3.45%","-2.19%","04/30/2025","-22.82%","+5.63%","+3.54%","-2.77%","-22.80%","+5.76%","+3.40%","-2.92%","03/31/2025","Latin America Stock","2 stars out of 16 funds","2 stars out of 16 funds","2 stars out of 15 funds","2 stars out of 11 funds","04/30/2025"
"FID","First Trust S&P International Dividend Aristocrats ETF","ETF","--","--","--","No","0.60%","0.60%","08/22/2013","+21.08%","+9.94%","+3.65%","+3.71%","+21.72%","+10.18%","+3.62%","+3.73%","04/30/2025","+12.73%","+10.29%","+3.51%","+3.27%","+12.89%","+10.59%","+3.51%","+3.31%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","1 stars out of 337 funds","2 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"BRF","VanEck Brazil Small-Cap ETF","ETF","--","--","--","No","0.60%","0.97%","05/12/2009","-5.42%","+2.53%","+0.93%","+0.32%","-4.93%","+2.54%","+0.97%","+0.42%","04/30/2025","-21.04%","+3.04%","+1.28%","-0.10%","-20.78%","+3.13%","+1.22%","-0.03%","03/31/2025","Latin America Stock","1 stars out of 16 funds","1 stars out of 16 funds","1 stars out of 15 funds","1 stars out of 11 funds","04/30/2025"
"EMDV","ProShares MSCI Emerging Markets Dividend Growers ETF","ETF","--","--","--","No","0.60%","0.60%","01/25/2016","+2.77%","+1.98%","--","+3.57%","+3.17%","+2.36%","--","+3.36%","04/30/2025","+1.93%","+3.26%","--","+3.41%","+1.92%","+3.52%","--","+3.22%","03/31/2025","Diversified Emerging Mkts","1 stars out of 722 funds","1 stars out of 722 funds","1 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"ECH","iShares MSCI Chile ETF","ETF","--","--","--","No","0.60%","0.60%","11/12/2007","+20.94%","+8.87%","+0.12%","-0.21%","+20.01%","+8.88%","+0.04%","-0.31%","04/30/2025","+15.35%","+11.20%","+0.11%","-0.49%","+15.52%","+11.22%","+0.08%","-0.56%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EPOL","iShares MSCI Poland ETF","ETF","--","--","--","No","0.60%","0.60%","05/25/2010","+31.49%","+17.32%","+3.82%","+4.25%","+32.44%","+17.95%","+3.89%","+3.97%","04/30/2025","+25.74%","+18.57%","+4.29%","+3.94%","+25.68%","+18.61%","+4.33%","+3.64%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"FFEM","Fidelity Fundamental Emerging Markets ETF","ETF","--","--","--","No","0.60%","0.60%","11/19/2024","--","--","--","+2.26%","--","--","--","+2.37%","04/30/2025","--","--","--","+1.12%","--","--","--","+1.87%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"GMOI","GMO International Value ETF","ETF","--","--","--","No","0.60%","0.60%","10/28/2024","--","--","--","+9.02%","--","--","--","+9.22%","04/30/2025","--","--","--","+6.74%","--","--","--","+7.33%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"JPY","Lazard Japanese Equity ETF","ETF","--","--","--","No","0.60%","0.60%","04/04/2025","--","--","--","+10.08%","--","--","--","+9.82%","04/30/2025","--","--","--","--","--","--","--","--","--","Japan Stock","-- stars out of 36 funds","-- stars out of 36 funds","-- stars out of 31 funds","-- stars out of 23 funds","04/30/2025"
"PPEM","Putnam Panagora ESG Emerging Markets Equity ETF -","ETF","--","--","--","Yes","0.60%","0.60%","01/19/2023","+10.08%","--","--","+6.36%","+9.94%","--","--","+6.44%","04/30/2025","+7.28%","--","--","+5.64%","+7.11%","--","--","+5.86%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"QAT","iShares MSCI Qatar ETF","ETF","--","--","--","No","0.60%","0.60%","04/29/2014","+13.29%","+7.17%","+1.33%","+1.11%","+12.77%","+6.91%","+1.13%","+0.85%","04/30/2025","+8.52%","+8.50%","+1.37%","+0.85%","+7.57%","+8.28%","+1.28%","+0.62%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"QLTI","GMO International Quality ETF","ETF","--","--","--","No","0.60%","0.60%","10/28/2024","--","--","--","-1.82%","--","--","--","-1.73%","04/30/2025","--","--","--","-5.87%","--","--","--","-5.58%","03/31/2025","Foreign Large Value","-- stars out of 337 funds","-- stars out of 337 funds","-- stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"SEEM","SEI Select Emerging Markets Equity ETF","ETF","--","--","--","No","0.60%","0.60%","10/08/2024","--","--","--","-0.75%","--","--","--","-0.29%","04/30/2025","--","--","--","-2.14%","--","--","--","-0.62%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"UAE","iShares MSCI UAE ETF","ETF","--","--","--","No","0.60%","0.60%","04/29/2014","+28.96%","+15.33%","+2.10%","+0.74%","+29.83%","+15.92%","+2.18%","+0.64%","04/30/2025","+20.28%","+17.75%","+3.32%","+0.30%","+19.39%","+17.29%","+3.40%","+0.17%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"VNIE","Vontobel International Equity Active ETF","ETF","--","--","--","No","0.60%","1.11%","05/14/2025","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","--"
"IEV","iShares Europe ETF","ETF","--","--","--","No","0.61%","0.61%","07/25/2000","+14.33%","+12.98%","+5.60%","+4.41%","+14.20%","+13.13%","+5.64%","+4.40%","04/30/2025","+7.44%","+13.41%","+5.66%","+4.26%","+7.63%","+13.54%","+5.69%","+4.27%","03/31/2025","Europe Stock","3 stars out of 82 funds","3 stars out of 82 funds","3 stars out of 81 funds","3 stars out of 58 funds","04/30/2025"
"BIDD","iShares International Dividend Active ETF","ETF","--","--","--","No","0.61%","0.61%","09/26/1997","+5.47%","+9.29%","+4.71%","+9.58%","+5.39%","+9.28%","+4.71%","+9.57%","04/30/2025","+2.05%","+10.58%","+5.03%","+9.57%","+2.23%","+10.62%","+5.04%","+9.57%","03/31/2025","Foreign Large Blend","2 stars out of 657 funds","1 stars out of 657 funds","2 stars out of 620 funds","3 stars out of 435 funds","04/30/2025"
"VIDI","Vident International Equity Strategy ETF","ETF","--","--","--","No","0.61%","0.61%","10/29/2013","+13.43%","+12.01%","+4.40%","+3.91%","+14.13%","+12.21%","+4.34%","+3.84%","04/30/2025","+9.14%","+13.63%","+4.52%","+3.64%","+9.32%","+13.71%","+4.49%","+3.60%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","1 stars out of 337 funds","2 stars out of 312 funds","2 stars out of 222 funds","04/30/2025"
"MCSE","Martin Currie Sustainable International Equity ETF","ETF","--","--","--","Yes","0.61%","0.61%","11/30/2015","-6.48%","+3.73%","--","+5.02%","-6.48%","+3.60%","--","+4.95%","04/30/2025","-15.93%","+4.03%","--","+4.68%","-15.46%","+4.20%","--","+4.77%","03/31/2025","Foreign Large Growth","1 stars out of 368 funds","1 stars out of 368 funds","1 stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"INDA","iShares MSCI India ETF","ETF","--","--","--","No","0.62%","0.62%","02/02/2012","+3.44%","+15.45%","+7.51%","+6.93%","+3.08%","+16.41%","+7.56%","+6.56%","04/30/2025","+0.45%","+17.95%","+6.33%","+6.64%","+0.52%","+18.18%","+6.22%","+6.28%","03/31/2025","India Equity","3 stars out of 24 funds","2 stars out of 24 funds","2 stars out of 21 funds","3 stars out of 17 funds","04/30/2025"
"TPIF","Timothy Plan International ETF","ETF","--","--","--","No","0.62%","0.62%","12/02/2019","+17.41%","+10.26%","--","+6.13%","+18.13%","+10.35%","--","+6.07%","04/30/2025","+7.55%","+10.38%","--","+5.14%","+8.17%","+10.62%","--","+5.18%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","3 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"GXG","Global X MSCI Colombia ETF","ETF","--","--","--","No","0.62%","0.62%","02/05/2009","+15.94%","+10.36%","-1.68%","+3.00%","+12.95%","+10.31%","-1.98%","+2.64%","04/30/2025","+15.77%","+11.40%","-0.27%","+2.87%","+15.62%","+11.51%","-0.17%","+2.72%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"EYLD","Cambria Emerging Shareholder Yield ETF","ETF","--","--","--","No","0.63%","0.63%","07/13/2016","-2.96%","+11.16%","--","+8.09%","-3.58%","+11.37%","--","+7.80%","04/30/2025","-1.79%","+13.47%","--","+8.03%","-1.35%","+13.32%","--","+7.90%","03/31/2025","Diversified Emerging Mkts","5 stars out of 722 funds","5 stars out of 722 funds","5 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"DEM","WisdomTree Emerging Markets High Dividend Fund","ETF","--","--","--","No","0.63%","0.63%","07/13/2007","+5.43%","+10.01%","+4.07%","+3.67%","+5.73%","+10.39%","+4.05%","+3.49%","04/30/2025","+5.90%","+11.87%","+5.14%","+3.66%","+6.05%","+12.09%","+5.22%","+3.52%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","5 stars out of 722 funds","4 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"DWLD","Davis Select Worldwide ETF","ETF","--","--","--","No","0.63%","0.63%","01/11/2017","+16.59%","+12.19%","--","+9.09%","+16.77%","+12.36%","--","+9.12%","04/30/2025","+17.67%","+15.40%","--","+9.38%","+17.68%","+15.46%","--","+9.36%","03/31/2025","Global Large-Stock Blend","4 stars out of 312 funds","5 stars out of 312 funds","3 stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"INDH","WisdomTree India Hedged Equity Fund ETF","ETF","--","--","--","No","0.63%","0.63%","05/07/2024","--","--","--","+6.03%","--","--","--","+5.09%","04/30/2025","--","--","--","+3.39%","--","--","--","+2.80%","03/31/2025","India Equity","-- stars out of 24 funds","-- stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"GVAL","Cambria Global Value ETF","ETF","--","--","--","No","0.64%","0.64%","03/11/2014","+23.07%","+13.99%","+5.26%","+3.65%","+24.14%","+14.33%","+5.32%","+3.74%","04/30/2025","+19.97%","+14.19%","+5.77%","+3.33%","+21.06%","+14.76%","+5.89%","+3.46%","03/31/2025","Foreign Small/Mid Value","3 stars out of 55 funds","5 stars out of 55 funds","3 stars out of 48 funds","2 stars out of 29 funds","04/30/2025"
"CGNG","Capital Group New Geography Equity ETF","ETF","--","--","--","No","0.64%","0.64%","06/25/2024","--","--","--","+2.47%","--","--","--","+2.63%","04/30/2025","--","--","--","+0.35%","--","--","--","+0.75%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"NBET","Neuberger Berman Energy Transition & Infrastructure ETF","ETF","--","--","--","Yes","0.65%","2.56%","04/06/2022","+20.59%","--","--","+8.55%","+20.01%","--","--","+8.54%","04/30/2025","+30.03%","--","--","+12.03%","+29.36%","--","--","+11.99%","03/31/2025","Global Small/Mid Stock","5 stars out of 166 funds","5 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"SAGP","Strategas Global Policy Opportunities ETF","ETF","--","--","--","No","0.65%","0.65%","01/25/2022","+18.86%","--","--","+8.21%","+19.18%","--","--","+8.01%","04/30/2025","+11.48%","--","--","+7.66%","+11.72%","--","--","+7.51%","03/31/2025","Global Small/Mid Stock","5 stars out of 166 funds","5 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"ASEA","Global X FTSE Southeast Asia ETF","ETF","--","--","--","No","0.65%","0.65%","02/16/2011","+12.70%","+9.54%","+3.09%","+3.42%","+13.92%","+10.20%","+3.10%","+3.38%","04/30/2025","+8.58%","+10.90%","+3.01%","+3.26%","+7.83%","+10.89%","+3.01%","+3.18%","03/31/2025","Pacific/Asia ex-Japan Stk","4 stars out of 38 funds","4 stars out of 38 funds","5 stars out of 37 funds","3 stars out of 27 funds","04/30/2025"
"EWX","SPDR® S&P Emerging Markets Small Cap ETF","ETF","--","--","--","No","0.65%","0.65%","05/12/2008","+1.72%","+11.68%","+4.50%","+3.22%","+2.14%","+12.05%","+4.53%","+3.03%","04/30/2025","+4.31%","+14.55%","+5.18%","+3.25%","+4.45%","+14.38%","+5.20%","+3.09%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","5 stars out of 639 funds","4 stars out of 440 funds","04/30/2025"
"ASHR","Xtrackers Harvest CSI 300 China A-Shares ETF","ETF","--","--","--","No","0.65%","0.65%","11/06/2013","+5.94%","-0.10%","-2.68%","+3.67%","+5.96%","+0.46%","-2.69%","+3.60%","04/30/2025","+12.12%","+1.76%","-0.83%","+3.98%","+11.62%","+1.83%","-0.86%","+3.89%","03/31/2025","China Region","3 stars out of 83 funds","3 stars out of 83 funds","4 stars out of 69 funds","2 stars out of 43 funds","04/30/2025"
"ASHS","Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF","ETF","--","--","--","No","0.65%","0.65%","05/21/2014","+4.02%","+1.10%","-5.48%","+2.14%","+3.89%","+1.52%","-5.47%","+2.08%","04/30/2025","+12.97%","+3.20%","-3.73%","+2.54%","+11.79%","+3.31%","-3.80%","+2.49%","03/31/2025","China Region","3 stars out of 83 funds","4 stars out of 83 funds","4 stars out of 69 funds","1 stars out of 43 funds","04/30/2025"
"BKCI","BNY Mellon Concentrated International ETF","ETF","--","--","--","No","0.65%","0.75%","12/06/2021","-0.01%","--","--","-0.10%","+0.63%","--","--","-0.07%","04/30/2025","-6.06%","--","--","-0.98%","-5.84%","--","--","-0.77%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","3 stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"CHIQ","Global X MSCI China Consumer Disc ETF","ETF","--","--","--","No","0.65%","0.65%","11/30/2009","+18.00%","+4.60%","+4.67%","+3.31%","+19.02%","+4.75%","+4.71%","+3.27%","04/30/2025","+33.28%","+7.61%","+6.69%","+3.78%","+34.34%","+7.84%","+6.73%","+3.80%","03/31/2025","China Region","3 stars out of 83 funds","3 stars out of 83 funds","3 stars out of 69 funds","3 stars out of 43 funds","04/30/2025"
"UMMA","Wahed Dow Jones Islamic World ETF","ETF","--","--","--","No","0.65%","0.65%","01/06/2022","+4.35%","--","--","+0.26%","+4.17%","--","--","+0.13%","04/30/2025","-0.43%","--","--","-0.51%","0.00%","--","--","-0.24%","03/31/2025","Foreign Large Growth","3 stars out of 368 funds","3 stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"CQQQ","Invesco China Technology ETF","ETF","--","--","--","No","0.65%","0.65%","12/08/2009","+23.43%","-4.00%","+0.12%","+4.33%","+24.94%","-3.88%","+0.15%","+4.34%","04/30/2025","+38.67%","-1.38%","+2.17%","+4.72%","+38.63%","-1.26%","+2.15%","+4.74%","03/31/2025","China Region","2 stars out of 83 funds","2 stars out of 83 funds","1 stars out of 69 funds","2 stars out of 43 funds","04/30/2025"
"ICOW","Pacer Developed Markets International Cash Cows 100 ETF","ETF","--","--","--","No","0.65%","0.65%","06/16/2017","+5.53%","+12.79%","--","+6.43%","+5.81%","+12.98%","--","+6.31%","04/30/2025","+3.22%","+13.99%","--","+6.30%","+3.10%","+14.37%","--","+6.24%","03/31/2025","Foreign Large Value","2 stars out of 337 funds","1 stars out of 337 funds","3 stars out of 312 funds","-- stars out of 222 funds","04/30/2025"
"PTEU","Pacer Trendpilot™ European Index ETF","ETF","--","--","--","No","0.65%","0.65%","12/14/2015","+5.94%","+3.91%","--","+2.15%","+7.17%","+4.11%","--","+2.24%","04/30/2025","+4.65%","+4.32%","--","+2.39%","+5.42%","+4.55%","--","+2.48%","03/31/2025","Europe Stock","2 stars out of 82 funds","3 stars out of 82 funds","1 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"CNXT","VanEck ChiNext ETF","ETF","--","--","--","No","0.65%","1.27%","07/23/2014","+8.50%","-1.75%","-5.20%","+1.28%","+7.99%","-1.86%","-5.20%","+1.15%","04/30/2025","+20.43%","+1.58%","-3.31%","+2.01%","+20.03%","+1.43%","-3.40%","+1.88%","03/31/2025","China Region","1 stars out of 83 funds","1 stars out of 83 funds","2 stars out of 69 funds","1 stars out of 43 funds","04/30/2025"
"FDNI","First Trust Dow Jones International Internet ETF","ETF","--","--","--","No","0.65%","0.65%","11/05/2018","+32.84%","+3.73%","--","+7.73%","+32.70%","+3.56%","--","+7.60%","04/30/2025","+36.26%","+6.81%","--","+8.14%","+36.70%","+6.67%","--","+8.13%","03/31/2025","Diversified Emerging Mkts","1 stars out of 722 funds","2 stars out of 722 funds","1 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"KURE","KraneShares MSCI All China Health Care Index ETF","ETF","--","--","--","No","0.65%","0.79%","01/31/2018","+6.13%","-7.17%","--","-4.27%","+6.82%","-6.99%","--","-4.12%","04/30/2025","+7.98%","-5.19%","--","-4.23%","+8.72%","-5.18%","--","-4.07%","03/31/2025","China Region","1 stars out of 83 funds","1 stars out of 83 funds","1 stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"BCHI","GMO Beyond China ETF","ETF","--","--","--","No","0.65%","0.65%","02/12/2025","--","--","--","-0.82%","--","--","--","-0.49%","04/30/2025","--","--","--","-3.50%","--","--","--","-2.78%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"EAFG","Pacer Developed Markets Cash Cows Growth Leaders ETF","ETF","--","--","--","No","0.65%","0.65%","03/20/2024","+8.92%","--","--","+1.86%","+8.55%","--","--","+1.20%","04/30/2025","-3.53%","--","--","-3.14%","+0.40%","--","--","+0.94%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"EMES","Harbor Emerging Markets Select ETF","ETF","--","--","--","No","0.65%","0.65%","05/14/2025","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","--"
